,gloss,spoken,combined
0,집 불,집에 불이 났어요.,집 불집에 불이 났어요.
1,집 도둑 넘어오다,집에 도둑이 들어왔어요.,집 도둑 넘어오다집에 도둑이 들어왔어요.
2,누가 교통사고,어떤 사람이 교통사고를 당했어요.,누가 교통사고어떤 사람이 교통사고를 당했어요.
4,홍수 집 물 채우다,홍수가 나서 집이 물에 잠기고 있어요.,홍수 집 물 채우다홍수가 나서 집이 물에 잠기고 있어요.
6,누가 자살 중,어떤 사람이 자살을 시도하고 있어요.,누가 자살 중어떤 사람이 자살을 시도하고 있어요.
7,누가 바다 빠지다 헤엄치다,어떤 사람이 바다에 빠졌어요.,누가 바다 빠지다 헤엄치다어떤 사람이 바다에 빠졌어요.
8,바다 가깝다 곳 상어 오다,해안가에 상어가 나타났어요.,바다 가깝다 곳 상어 오다해안가에 상어가 나타났어요.
9,바다 가깝다 곳 해파리 오다,해안가에 해파리가 나타났어요.,바다 가깝다 곳 해파리 오다해안가에 해파리가 나타났어요.
11,주변 폭탄,근처에서 폭탄이 터졌어요.,주변 폭탄근처에서 폭탄이 터졌어요.
12,할머니 갑자기 쓰러지다,할머니가 갑자기 쓰러지셨어요,할머니 갑자기 쓰러지다할머니가 갑자기 쓰러지셨어요
13,누가 갑자기 쓰러지다,사람이 갑자기 쓰러졌어요.,누가 갑자기 쓰러지다사람이 갑자기 쓰러졌어요.
14,개 뼈 뼈다귀 삼키다,강아지가 뼈를 삼켰어요.,개 뼈 뼈다귀 삼키다강아지가 뼈를 삼켰어요.
15,아기 장난감 먹다 삼키다,아기가 장난감을 삼켰어요.,아기 장난감 먹다 삼키다아기가 장난감을 삼켰어요.
17,배 침몰,배가 침몰하고 있어요.,배 침몰배가 침몰하고 있어요.
18,낯선 뒤 쫓아오다,이상한 사람이 저를 쫓아와요,낯선 뒤 쫓아오다이상한 사람이 저를 쫓아와요
19,뒤 쫓아오다 느낌,쫓아오는 것 같아요.,뒤 쫓아오다 느낌쫓아오는 것 같아요.
20,누가 집단폭력,어떤 사람이 집단폭력을 당하고 있어요.,누가 집단폭력어떤 사람이 집단폭력을 당하고 있어요.
21,누가 칼 가지다,어떤 사람이 무기/흉기를 소지하고 있어요.,누가 칼 가지다어떤 사람이 무기/흉기를 소지하고 있어요.
22,주변 건물 붕괴,근처에 있는 건물이 붕괴되고 있어요.,주변 건물 붕괴근처에 있는 건물이 붕괴되고 있어요.
24,불 상처,화상을 입었어요.,불 상처화상을 입었어요.
26,친구 전기 몸 자극,친구가 감전 사고를 당했어요.,친구 전기 몸 자극친구가 감전 사고를 당했어요.
27,친구 쉼쉬다 안되다,친구가 숨을 안 쉬는 것 같아요.,친구 쉼쉬다 안되다친구가 숨을 안 쉬는 것 같아요.
28,차 안 강아지 방치 두다,차 안에 강아지가 방치되어있어요.,차 안 강아지 방치 두다차 안에 강아지가 방치되어있어요.
29,누가 잡다,어떤 사람한테 납치당했어요.,누가 잡다어떤 사람한테 납치당했어요.
30,산 뱀 물다,산에서 뱀에게 물렸어요.,산 뱀 물다산에서 뱀에게 물렸어요.
31,개 미치다 병 물다,광견병에 걸린 개에게 물렸어요.,개 미치다 병 물다광견병에 걸린 개에게 물렸어요.
32,누가 건물 추락,어떤 사람이 건물에서 추락했어요.,누가 건물 추락어떤 사람이 건물에서 추락했어요.
33,눈 물건 더럽다 들어오다,눈에 이물질이 들어갔어요.,눈 물건 더럽다 들어오다눈에 이물질이 들어갔어요.
34,동굴 무너지다 감히다,터널이 무너져 갇혔어요.,동굴 무너지다 감히다터널이 무너져 갇혔어요.
36,물 강 빠르다 서다 넘어지다,급류에 친구가 휩쓸렸어요.,물 강 빠르다 서다 넘어지다급류에 친구가 휩쓸렸어요.
37,비행기 추락,비행기가 추락하고 있어요.,비행기 추락비행기가 추락하고 있어요.
40,폭발,폭탄이 터졌어요.,폭발폭탄이 터졌어요.
41,벌 크다 침 팔 주사,말벌에게 쏘였어요.,벌 크다 침 팔 주사말벌에게 쏘였어요.
42,해파리 팔 주사,해파리에게 쏘였어요.,해파리 팔 주사해파리에게 쏘였어요.
43,독 버섯 먹다 같다,독버섯을 먹은 것 같아요.,독 버섯 먹다 같다독버섯을 먹은 것 같아요.
44,엄지손가락 자르다,신체부위가 절단됐어요.,엄지손가락 자르다신체부위가 절단됐어요.
45,바다 배 길 실종,바다에서 조난을 당했어요.,바다 배 길 실종바다에서 조난을 당했어요.
46,누가 벼락 엄지손가락,어떤 사람이 벼락을 맞았어요.,누가 벼락 엄지손가락어떤 사람이 벼락을 맞았어요.
47,문 몸 끼다,문에 몸이 끼었어요.,문 몸 끼다문에 몸이 끼었어요.
48,가스 고장 흐르다,가스가 새고 있는 것 같아요.,가스 고장 흐르다가스가 새고 있는 것 같아요.
49,전기 기둥 줄 끊어지다,고압선이 끊어져 있어요.,전기 기둥 줄 끊어지다고압선이 끊어져 있어요.
50,숨 안되다,숨이 안 쉬어져요.,숨 안되다숨이 안 쉬어져요.
51,몸 손묶다 갇히다,몸이 결박 당해있어요.,몸 손묶다 갇히다몸이 결박 당해있어요.
52,누가 나 죽이다,어떤 사람이 저를 죽이려고 해요.,누가 나 죽이다어떤 사람이 저를 죽이려고 해요.
53,돕다 부탁,도와주세요!,돕다 부탁도와주세요!
55,나 집 불,우리 집에 불이 났어요.,나 집 불우리 집에 불이 났어요.
56,위 집 불,윗집에 불이 났어요.,위 집 불윗집에 불이 났어요.
57,이웃 집 불,옆집에 불이 났어요.,이웃 집 불옆집에 불이 났어요.
58,아래 집 불,아랫집에 불이 났어요.,아래 집 불아랫집에 불이 났어요.
59,가스 고장 흐르다,가스가 새고 있어요.,가스 고장 흐르다가스가 새고 있어요.
60,전지 몸 자극,감전 사고가 났어요.,전지 몸 자극감전 사고가 났어요.
61,집 낯선 넘어오다,집에 모르는 사람이 침입했어요.,집 낯선 넘어오다집에 모르는 사람이 침입했어요.
62,강도 넘어오다 아마,강도가 들어온것 같아요.,강도 넘어오다 아마강도가 들어온것 같아요.
63,아기 낳다 오다,아기를 낳을것 같아요.,아기 낳다 오다아기를 낳을것 같아요.
64,아기 갑자기 토하다,아기가 갑자기 토해요.,아기 갑자기 토하다아기가 갑자기 토해요.
65,아기 숨 힘들다,아기가 숨을 안 쉬어요.,아기 숨 힘들다아기가 숨을 안 쉬어요.
66,아이 놀다 곳 실종,아이를 공원에서 잃어버렸어요.,아이 놀다 곳 실종아이를 공원에서 잃어버렸어요.
67,낯선 아기 데리다,아이를 모르는 사람이 데려갔어요.,낯선 아기 데리다아이를 모르는 사람이 데려갔어요.
68,아기 독 약 삼키다,아이가 독극물을 삼켰어요.,아기 독 약 삼키다아이가 독극물을 삼켰어요.
69,아기 장남감 삼키다,아이가 장난감을 삼켰어요.,아기 장남감 삼키다아이가 장난감을 삼켰어요.
70,배 아프다,복통이 심해요,배 아프다복통이 심해요
